Green River km downstream of Flaming Gorge Dam,,
River_km,Latitude,Longitude
44.6,40.8488083,-109.07472
44.7,40.8493195,-109.07374
44.8,40.8498383,-109.07277
44.9,40.8501892,-109.07169
45,40.8504219,-109.07055
45.1,40.850441,-109.06937
45.2,40.8503609,-109.06819
45.3,40.8502312,-109.06702
45.4,40.8499489,-109.06592
45.5,40.8494301,-109.06495
45.6,40.8488693,-109.06402
45.7,40.8482704,-109.06316
45.8,40.847599,-109.06237
45.9,40.84692,-109.06158
46,40.8462486,-109.06079
46.1,40.8455811,-109.06
46.2,40.8449097,-109.05921
46.3,40.8442307,-109.05841
46.4,40.8435402,-109.05766
46.5,40.8428116,-109.05697
46.6,40.8420792,-109.05628
46.7,40.8413506,-109.05558
46.8,40.8406181,-109.05489
46.9,40.8398895,-109.0542
47,40.8391304,-109.05355
47.1,40.8383789,-109.0529
47.2,40.8376312,-109.05225
47.3,40.8368797,-109.05159
47.4,40.8361397,-109.05092
47.5,40.8354607,-109.05013
47.6,40.8348503,-109.04927
47.7,40.8342705,-109.04837
47.8,40.8337402,-109.04741
47.9,40.833271,-109.0464
48,40.8328018,-109.04538
48.1,40.8324394,-109.0443
48.2,40.8321609,-109.04318
48.3,40.8321419,-109.042
48.4,40.8319206,-109.04087
48.5,40.8313408,-109.03998
48.6,40.8309097,-109.03894
48.7,40.8303795,-109.03799
48.8,40.8297691,-109.03712
48.9,40.8291397,-109.03627
49,40.8287506,-109.03523
49.1,40.8285103,-109.03409
49.2,40.828331,-109.03293
49.3,40.8281593,-109.03177
49.4,40.8278503,-109.03066
49.5,40.8274689,-109.02958
49.6,40.8270912,-109.0285
49.7,40.8266792,-109.02745
49.8,40.8262596,-109.0264
49.9,40.8258514,-109.02535
50,40.8255081,-109.02425
50.1,40.8252296,-109.02313
50.2,40.8250313,-109.02197
50.3,40.8248711,-109.02081
50.4,40.8247414,-109.01963
50.5,40.8246193,-109.01846
50.6,40.8244896,-109.01728
50.7,40.8243408,-109.01612
50.8,40.8241806,-109.01495
50.9,40.824131,-109.01377
51,40.8242111,-109.01259
51.1,40.824379,-109.01143
51.2,40.8247414,-109.01036
51.3,40.8254509,-109.00971
51.4,40.8262711,-109.00924
51.5,40.8270302,-109.0086
