Colorado River km downstream of Lee's Ferry in Glen Canyon
River_km,Latitude,Longitude
31.5,36.6465988,-111.7617
31.6,36.64571,-111.76186
31.7,36.6448212,-111.76201
31.8,36.6439209,-111.76208
31.9,36.6430206,-111.76205
32,36.6421204,-111.762
32.1,36.6412315,-111.76187
32.2,36.6403503,-111.76164
32.3,36.6394691,-111.76143
32.4,36.6385689,-111.7614
32.5,36.637661,-111.76134
32.6,36.6367607,-111.76128
32.7,36.6358719,-111.76135
32.8,36.6349983,-111.76163
32.9,36.6341591,-111.76202
33,36.6333084,-111.76239
33.1,36.6324387,-111.7627
33.2,36.6316185,-111.76316
33.3,36.6307411,-111.76336
33.4,36.6298409,-111.76348
33.5,36.6289597,-111.76373
33.6,36.6281204,-111.7641
33.7,36.6272392,-111.76427
33.8,36.626339,-111.76415
33.9,36.6254883,-111.7638
34,36.6246681,-111.76335
34.1,36.6238785,-111.76281
34.2,36.6231308,-111.76219
34.3,36.6224403,-111.76147
34.4,36.6218605,-111.76062
34.5,36.6210899,-111.76006
34.6,36.6202888,-111.75955
34.7,36.6194801,-111.75906
34.8,36.6186295,-111.75869
34.9,36.6177406,-111.75864
35,36.6168785,-111.75846
35.1,36.6160698,-111.75827
35.2,36.6152115,-111.75862
35.3,36.6143188,-111.75861
35.4,36.6134605,-111.75888
35.5,36.61269,-111.75944
35.6,36.6119499,-111.76005
35.7,36.611351,-111.76088
35.8,36.6107407,-111.76171
35.9,36.6100883,-111.76247
36,36.6093407,-111.7631
36.1,36.6086006,-111.76374
36.2,36.60783,-111.7643
36.3,36.6069794,-111.76464
36.4,36.6061211,-111.76499
36.5,36.6052818,-111.76541
36.6,36.6044502,-111.76584
36.7,36.6035614,-111.7657
36.8,36.6026917,-111.76599
36.9,36.6018105,-111.76621
37,36.6009483,-111.76654
37.1,36.6001701,-111.76708
37.2,36.5994492,-111.76776
37.3,36.5987282,-111.76843
37.4,36.5979385,-111.76897
37.5,36.5971184,-111.76943
37.6,36.5962982,-111.7699
37.7,36.5956612,-111.77067
37.8,36.5949707,-111.77138
37.9,36.5942307,-111.77202
38,36.593441,-111.77252
38.1,36.5928192,-111.77333
38.2,36.5921783,-111.77412
38.3,36.5915298,-111.7749
38.4,36.5909004,-111.7757
38.5,36.5902786,-111.77651
38.6,36.58955,-111.77716
38.7,36.5889091,-111.77794
38.8,36.5883102,-111.77877
38.9,36.5876999,-111.77959
39,36.5870895,-111.78042
39.1,36.5864182,-111.78116
39.2,36.5857086,-111.78186
39.3,36.585041,-111.78259
39.4,36.5844307,-111.78342
39.5,36.5837898,-111.7842
39.6,36.5831795,-111.78502
39.7,36.5828094,-111.78603
39.8,36.5824203,-111.78704
39.9,36.5817413,-111.78773
40,36.5809288,-111.78824
40.1,36.5802307,-111.78893
40.2,36.5795898,-111.78971
40.3,36.5790215,-111.79058
40.4,36.5785599,-111.79151
40.5,36.5780411,-111.79233
40.6,36.5774002,-111.79307
40.7,36.5769501,-111.79404
40.8,36.5764999,-111.79501
40.9,36.5761185,-111.79602
41,36.5758095,-111.79706
41.1,36.5754509,-111.79809
41.2,36.5750999,-111.79912
41.3,36.5748596,-111.8002
41.4,36.5746193,-111.80128
41.5,36.5743294,-111.80231
41.6,36.5740089,-111.80336
41.7,36.5735588,-111.80433
41.8,36.5730591,-111.80525
41.9,36.572361,-111.80595
42,36.5718307,-111.80685
42.1,36.5712204,-111.80766
42.2,36.570591,-111.80847
42.3,36.5699005,-111.80918
42.4,36.5691986,-111.80988
42.5,36.5685501,-111.81066
42.6,36.5678406,-111.81134
42.7,36.5670586,-111.8119
42.8,36.5662689,-111.81244
42.9,36.5654907,-111.81299
43,36.5647087,-111.81356
43.1,36.5639381,-111.81414
43.2,36.5631409,-111.81463
43.3,36.562439,-111.81532
43.4,36.5615692,-111.81558
43.5,36.5607414,-111.816
43.6,36.5599213,-111.81646
43.7,36.5591202,-111.81698
43.8,36.5583191,-111.81749
43.9,36.5575218,-111.818
44,36.5568085,-111.81869
44.1,36.5560417,-111.81928
44.2,36.5553207,-111.81993
44.3,36.5546303,-111.82066
44.4,36.5539589,-111.8214
44.5,36.5532799,-111.82214
44.6,36.5526009,-111.82287
44.7,36.5519104,-111.8236
44.8,36.5511398,-111.82416
44.9,36.5503311,-111.82467
45,36.549511,-111.8251
45.1,36.5486488,-111.82541
45.2,36.5477791,-111.82573
45.3,36.5468903,-111.82591
45.4,36.5460014,-111.82605
45.5,36.5451012,-111.82618
45.6,36.5442009,-111.82627
45.7,36.5433006,-111.82636
45.8,36.5424118,-111.82647
45.9,36.5415306,-111.82667
46,36.5406494,-111.82679
46.1,36.5397491,-111.82667
46.2,36.5388489,-111.82661
46.3,36.5379715,-111.82674
46.4,36.5371208,-111.82711
46.5,36.5362701,-111.82749
46.6,36.5354614,-111.82796
46.7,36.5346718,-111.82851
46.8,36.5339012,-111.82908
46.9,36.5332108,-111.82979
47,36.5325089,-111.8305
47.1,36.5318794,-111.83128
47.2,36.5315399,-111.8323
47.3,36.5314407,-111.83341
47.4,36.5311584,-111.83443
47.5,36.5305481,-111.83525
47.6,36.5299187,-111.83605
47.7,36.5292892,-111.83684
47.8,36.5286293,-111.83761
47.9,36.5279617,-111.83835
48,36.5273399,-111.83917
48.1,36.5267296,-111.83998
48.2,36.5260506,-111.84072
48.3,36.5253181,-111.84138
48.4,36.5245895,-111.84202
48.5,36.523819,-111.8426
48.6,36.5230904,-111.84326
48.7,36.5223618,-111.84392
48.8,36.5216293,-111.84458
48.9,36.5213089,-111.84561
49,36.5205383,-111.8461
49.1,36.5196419,-111.84613
49.2,36.5187302,-111.84617
49.3,36.5178299,-111.84621
49.4,36.5169792,-111.84655
49.5,36.51614,-111.84696
49.6,36.5153618,-111.84752
49.7,36.5145187,-111.84791
49.8,36.5136909,-111.84834
49.9,36.5128593,-111.84879
50,36.5120392,-111.84925
50.1,36.5112801,-111.84986
50.2,36.5105209,-111.85045
50.3,36.5097504,-111.85103
50.4,36.5089912,-111.85163
50.5,36.5085487,-111.85259
50.6,36.5079384,-111.85337
50.7,36.5072098,-111.85402
50.8,36.5064087,-111.85451
50.9,36.5057297,-111.85525
51,36.5050583,-111.85599
51.1,36.5043602,-111.85667
51.2,36.5034599,-111.85671
51.3,36.5026093,-111.85696
51.4,36.5018883,-111.85764
51.5,36.5010986,-111.85817
51.6,36.5001984,-111.85815
51.7,36.499321,-111.85799
51.8,36.4986,-111.85736
51.9,36.4981918,-111.85638
52,36.497879,-111.85533
52.1,36.4976501,-111.85425
52.2,36.4973412,-111.85321
52.3,36.4970398,-111.85216
52.4,36.4969711,-111.85105
52.5,36.4969482,-111.84993
52.6,36.4969482,-111.84882
52.7,36.4969215,-111.8477
52.8,36.4968681,-111.84658
52.9,36.4965897,-111.84553
53,36.4962997,-111.84447
53.1,36.4959488,-111.84344
53.2,36.4954491,-111.84253
53.3,36.4947395,-111.84185
53.4,36.493969,-111.84126
53.5,36.4932404,-111.84062
53.6,36.4924393,-111.84011
53.7,36.491539,-111.84006
53.8,36.4906883,-111.8404
53.9,36.4898682,-111.84086
54,36.4890518,-111.84134
54.1,36.4882584,-111.84185
54.2,36.4875183,-111.8425
54.3,36.4868202,-111.8432
54.4,36.4860992,-111.84388
54.5,36.4853783,-111.84454
54.6,36.4846382,-111.84518
54.7,36.4838791,-111.84578
54.8,36.4830704,-111.84627
54.9,36.4822693,-111.84676
55,36.481411,-111.84712
55.1,36.4805183,-111.8472
55.2,36.4796219,-111.8471
55.3,36.4787292,-111.84692
55.4,36.47789,-111.84654
55.5,36.4771194,-111.84599
55.6,36.4763794,-111.84539
55.7,36.4755096,-111.84521
55.8,36.4747391,-111.84463
55.9,36.4740486,-111.84392
56,36.4733086,-111.84328
56.1,36.4725609,-111.84267
56.2,36.4717903,-111.8421
56.3,36.4709511,-111.84167
56.4,36.4701004,-111.84134
56.5,36.4693298,-111.84076
56.6,36.4685783,-111.84014
56.7,36.4678307,-111.83953
56.8,36.4670181,-111.83905
56.9,36.4661598,-111.83871
57,36.465271,-111.83868
57.1,36.4644394,-111.83839
57.2,36.4636002,-111.83797
57.3,36.4627304,-111.83769
57.4,36.4618416,-111.83754
57.5,36.4609413,-111.83742
57.6,36.460041,-111.8373
57.7,36.4591484,-111.83718
57.8,36.4582596,-111.83705
57.9,36.4573708,-111.83684
58,36.4566307,-111.83622
58.1,36.4558105,-111.83577
