River kilometer measured from Lees Ferry (using NHD division) going upstream towards Glen Canyon Dam,,
River_km,Latitude,Longitude
-28,36.9551811,-111.48336
-28.1,36.95504,-111.48225
-28.2,36.9549103,-111.48114
-28.3,36.9546814,-111.48006
-28.4,36.9543991,-111.47899
-28.5,36.9541283,-111.47792
-28.6,36.9538193,-111.47687
-28.7,36.9534988,-111.47582
-28.8,36.9531708,-111.47477
-28.9,36.9528389,-111.47373
-29,36.9523582,-111.47278
-29.1,36.9518814,-111.47183
-29.2,36.9514008,-111.47088
-29.3,36.9509201,-111.46993
-29.4,36.9504395,-111.46897
-29.5,36.9499588,-111.46802
-29.6,36.9494781,-111.46707
-29.7,36.9490089,-111.46612
-29.8,36.9485283,-111.46516
-29.9,36.9480209,-111.46424
-30,36.9474716,-111.46335
-30.1,36.9469185,-111.46246
-30.2,36.9463692,-111.46157
-30.3,36.9458199,-111.46068
-30.4,36.9454498,-111.45967
-30.5,36.9451599,-111.45861
-30.6,36.9448586,-111.45755
-30.7,36.944561,-111.45649
-30.8,36.9442902,-111.45542
-30.9,36.9441299,-111.45431
-31,36.9439812,-111.45321
-31.1,36.9438286,-111.4521
-31.2,36.9436989,-111.45099
-31.3,36.9437218,-111.44987
-31.4,36.9438782,-111.44877
-31.5,36.9441605,-111.44771
-31.6,36.9446106,-111.44674
-31.7,36.945179,-111.44589
-31.8,36.9458885,-111.4452
-31.9,36.9466782,-111.44466
-32,36.9474983,-111.44423
-32.1,36.9483795,-111.444
-32.2,36.9492683,-111.44387
-32.3,36.9501686,-111.44392
-32.4,36.9510689,-111.44398
-32.5,36.9519806,-111.44403
-32.6,36.9528809,-111.44408
-32.7,36.9537811,-111.44413
-32.8,36.9546509,-111.4443
-32.9,36.9554901,-111.44472
-33,36.9563293,-111.44513
-33.1,36.9571686,-111.44555
-33.2,36.9580116,-111.44596
-33.3,36.9588394,-111.44637
-33.4,36.9596786,-111.44679
-33.5,36.9605217,-111.4472
-33.6,36.9613609,-111.44762
-33.7,36.9622383,-111.4477
-33.8,36.9631386,-111.44763
-33.9,36.9640388,-111.44755
-34,36.9649391,-111.44747
-34.1,36.9657288,-111.44697
-34.2,36.9665108,-111.4464
-34.3,36.967289,-111.44583
-34.4,36.9678993,-111.44503
-34.5,36.9684792,-111.44416
-34.6,36.9689789,-111.44325
-34.7,36.9692497,-111.44218
-34.8,36.9695091,-111.4411
-34.9,36.9697685,-111.44003
-35,36.9697685,-111.43891
-35.1,36.9696808,-111.43781
-35.2,36.9693298,-111.43677
-35.3,36.9689713,-111.43574
-35.4,36.9686203,-111.43471
-35.5,36.9681396,-111.43376
-35.6,36.9675903,-111.43288
-35.7,36.9670296,-111.43199
-35.8,36.9665985,-111.43101
-35.9,36.9661789,-111.43002
-36,36.9657516,-111.42903
-36.1,36.9653091,-111.42805
-36.2,36.9648285,-111.42709
-36.3,36.9643517,-111.42614
-36.4,36.963871,-111.42519
-36.5,36.9633904,-111.42424
-36.6,36.9629097,-111.42329
-36.7,36.962429,-111.42234
-36.8,36.9619217,-111.42142
-36.9,36.9612999,-111.42061
-37,36.9606705,-111.4198
-37.1,36.9599915,-111.41907
-37.2,36.9592514,-111.41843
-37.3,36.9585114,-111.41779
-37.4,36.9577484,-111.41719
-37.5,36.9569893,-111.41659
-37.6,36.9562302,-111.41599
-37.7,36.9554596,-111.41538
-37.8,36.9548302,-111.41462
-37.9,36.9543304,-111.41368
-38,36.9540291,-111.41265
-38.1,36.9538918,-111.41154
-38.2,36.9537506,-111.41043
-38.3,36.9537506,-111.40933
-38.4,36.9539604,-111.40824
-38.5,36.9541588,-111.40714
-38.6,36.9543686,-111.40605
-38.7,36.9547005,-111.405
-38.8,36.9550209,-111.40396
-38.9,36.955349,-111.40291
-39,36.9557114,-111.40188
-39.1,36.956089,-111.40086
-39.2,36.956459,-111.39984
-39.3,36.9568405,-111.39882
-39.4,36.9572182,-111.3978
-39.5,36.9575996,-111.39678
-39.6,36.9581108,-111.39586
-39.7,36.9586487,-111.39496
-39.8,36.9591904,-111.39407
-39.9,36.9597397,-111.39317
-40,36.9603119,-111.39231
-40.1,36.9610405,-111.39165
-40.2,36.9617691,-111.39099
-40.3,36.9625587,-111.39046
-40.4,36.9633598,-111.38995
-40.5,36.9641685,-111.38944
-40.6,36.9650497,-111.38918
-40.7,36.9659195,-111.38893
-40.8,36.9668007,-111.38868
-40.9,36.9676895,-111.38863
-41,36.9685783,-111.38878
-41.1,36.969471,-111.38892
-41.2,36.9703293,-111.38926
-41.3,36.97118,-111.38965
-41.4,36.9720306,-111.39003
-41.5,36.9728699,-111.39042
-41.6,36.9737206,-111.3908
-41.7,36.9745712,-111.39119
-41.8,36.975399,-111.3916
-41.9,36.9761581,-111.39221
-42,36.9769211,-111.39282
-42.1,36.9776611,-111.39346
-42.2,36.9783897,-111.39412
-42.3,36.9791107,-111.39479
-42.4,36.9798393,-111.39545
-42.5,36.9805717,-111.39611
-42.6,36.9813004,-111.39677
-42.7,36.982029,-111.39744
-42.8,36.9827499,-111.3981
-42.9,36.9834785,-111.39876
-43,36.984211,-111.39942
-43.1,36.9849396,-111.40009
-43.2,36.9856606,-111.40075
-43.3,36.9863892,-111.40141
-43.4,36.9870987,-111.4021
-43.5,36.9877205,-111.40292
-43.6,36.9883308,-111.40374
-43.7,36.9889488,-111.40456
-43.8,36.9895782,-111.40537
-43.9,36.9902,-111.40617
-44,36.9908295,-111.40698
-44.1,36.9914589,-111.40779
-44.2,36.9920883,-111.40859
-44.3,36.9928207,-111.40925
-44.4,36.9935493,-111.4099
-44.5,36.9942894,-111.41055
-44.6,36.99506,-111.41111
-44.7,36.9958916,-111.41156
-44.8,36.9967194,-111.412
-44.9,36.997551,-111.41245
-45,36.9984093,-111.41277
-45.1,36.999279,-111.41305
-45.2,37.0001793,-111.41306
-45.3,37.001049,-111.41279
-45.4,37.0019188,-111.41251
-45.5,37.0027313,-111.41208
-45.6,37.0033798,-111.41131
-45.7,37.003849,-111.41036
-45.8,37.0042305,-111.40934
-45.9,37.0046082,-111.40832
-46,37.004921,-111.40731
-46.1,37.0046616,-111.40628
-46.2,37.0046196,-111.40516
-46.3,37.00457,-111.40404
-46.4,37.0045204,-111.40292
-46.5,37.0044785,-111.40179
-46.6,37.0044594,-111.40067
-46.7,37.0045204,-111.39955
-46.8,37.00457,-111.39843
-46.9,37.0046196,-111.39731
-47,37.0046806,-111.39618
-47.1,37.004631,-111.39506
-47.2,37.0040092,-111.39429
-47.3,37.0036392,-111.39331
-47.4,37.0035706,-111.39219
-47.5,37.0035019,-111.39107
-47.6,37.0034294,-111.38995
-47.7,37.0033493,-111.38883
-47.8,37.0033493,-111.38771
-47.9,37.0034485,-111.3866
-48,37.0034904,-111.38549
-48.1,37.0032806,-111.3844
-48.2,37.0030708,-111.38331
-48.3,37.002861,-111.38221
-48.4,37.0026512,-111.38112
-48.5,37.0024414,-111.38003
-48.6,37.0022316,-111.37894
-48.7,37.0020409,-111.37784
